name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
hot-update,1000,asfp,10240,1.0932867527008057,0.8466243743896484,2.041506767272949,2.249760627746582,3.1554698944091797,0.52642822265625,1.0770530700683594,914.67,0.00
cold-get,1000,asfp,10240,1.149653673171997,0.9545087814331055,2.0197153091430664,2.1651816368103027,2.585887908935547,0.6561279296875,1.130586862564087,869.83,0.00
cold-update,1000,asfp,10240,1.3579773902893066,0.9405612945556641,3.001570701599121,3.377721309661865,3.676891326904297,0.6022453308105469,1.338834285736084,736.39,0.00
hot-get,1000,local,102400,1.2562036514282227,0.7394189834594727,1.2991666793823242,1.340644359588623,4.715681076049805,1.0254383087158203,1.2397150993347168,796.05,0.00
hot-update,1000,local,102400,4.392012357711792,4.361152648925781,4.439139366149902,4.653544425964354,8.278846740722656,4.146337509155273,4.373766660690308,227.69,0.00
cold-get,1000,local,102400,2.984391689300537,2.9813051223754883,3.055572509765625,3.160734176635742,14.913797378540039,2.621889114379883,2.9677774906158447,335.08,0.00
cold-update,1000,local,102400,5.873550176620483,6.004810333251953,6.155753135681152,6.383664608001709,16.715288162231445,4.84466552734375,5.85668683052063,170.25,0.00
hot-get,1000,remote,102400,0.9633688926696777,0.950932502746582,1.0770082473754883,1.1158037185668945,1.6965866088867188,0.6618499755859375,0.9477291107177734,1038.02,0.00
hot-update,1000,remote,102400,0.9828932285308838,0.9742975234985352,1.0802984237670898,1.1217665672302246,1.7845630645751953,0.5717277526855469,0.9660468101501465,1017.40,0.00
cold-get,1000,remote,102400,0.9326827526092529,0.9044408798217773,1.056051254272461,1.086258888244629,12.546539306640625,0.5538463592529297,0.9149346351623535,1072.18,0.00
cold-update,1000,remote,102400,0.9897308349609375,0.9731054306030273,1.065969467163086,1.1199259757995605,12.859106063842773,0.6833076477050781,0.972867488861084,1010.38,0.00
hot-get,1000,kayak,102400,1.1012845039367676,1.0907649993896484,1.1813879013061523,1.268630027770996,4.401683807373047,0.7405281066894531,1.0823602676391602,908.03,0.00
hot-update,1000,kayak,102400,2.5446572303771973,3.786444664001465,4.0760040283203125,4.192368984222412,7.584810256958008,0.7359981536865234,2.525731325149536,392.98,0.00
cold-get,1000,kayak,102400,1.9221773147583008,1.1605024337768555,2.9494524002075195,3.0814695358276367,14.876604080200195,0.7524490356445312,1.9039297103881836,520.24,0.00
cold-update,1000,kayak,102400,3.2701237201690674,1.0845661163330078,5.994915962219238,6.174335479736328,16.639232635498047,0.6623268127441406,3.2514266967773438,305.80,0.00
hot-get,1000,asfp,102400,1.1326780319213867,0.9551048278808594,1.9324779510498047,2.147524356842041,3.4775733947753906,0.7107257843017578,1.1140263080596924,882.86,0.00
