name,num_op,strategy,value_len,total_time,median,p90,p99,max,min,mean,success tput,abort tput
cold-update,1000,kayak,1024,1.4601407051086426,1.5685558319091797,1.9894123077392578,2.089507579803467,2.771615982055664,0.7190704345703125,1.4411711692810059,684.87,0.00
hot-get,1000,asfp,1024,1.0036699771881104,0.9456872940063477,1.260542869567871,1.4549446105957031,1.9257068634033203,0.6101131439208984,0.985461950302124,996.34,0.00
hot-update,1000,asfp,1024,1.1983633041381836,0.9626150131225586,2.047085762023926,2.2855091094970703,3.0298233032226562,0.6706714630126953,1.1791393756866455,834.47,0.00
cold-get,1000,asfp,1024,1.1163303852081299,0.9524822235107422,1.8708467483520508,2.0613884925842285,2.705097198486328,0.6136894226074219,1.0977427959442139,895.79,0.00
cold-update,1000,asfp,1024,1.30832839012146,0.977635383605957,2.69777774810791,3.0388879776000977,3.7834644317626953,0.6697177886962891,1.289797067642212,764.33,0.00
hot-get,1000,local,10240,0.24619269371032715,0.2377033233642578,0.24962425231933594,0.29663324356079096,0.6072521209716797,0.22220611572265625,0.2396714687347412,4061.86,0.00
hot-update,1000,local,10240,1.4333868026733398,1.4199018478393555,1.5705108642578125,1.671583652496338,2.355337142944336,1.0678768157958984,1.4168260097503662,697.65,0.00
cold-get,1000,local,10240,1.218181848526001,1.1930465698242188,1.2822151184082031,1.3072538375854492,2.008676528930664,1.0309219360351562,1.2024009227752686,820.90,0.00
cold-update,1000,local,10240,2.277495861053467,2.261638641357422,2.3701906204223633,2.4607038497924805,3.236055374145508,1.9123554229736328,2.260145664215088,439.08,0.00
hot-get,1000,remote,10240,0.8583085536956787,0.8405447006225586,0.9343624114990234,1.015944480895996,1.5866756439208984,0.6203651428222656,0.8452284336090088,1165.08,0.00
hot-update,1000,remote,10240,1.1066398620605469,1.0881423950195312,1.1544227600097656,1.3216924667358396,1.8467903137207031,0.7946491241455078,1.0896062850952148,903.64,0.00
cold-get,1000,remote,10240,0.9173407554626465,0.9063482284545898,1.0454893112182617,1.0902881622314453,1.7597675323486328,0.5109310150146484,0.902008056640625,1090.11,0.00
cold-update,1000,remote,10240,1.202516794204712,1.181960105895996,1.2724637985229492,1.3244247436523438,2.117633819580078,0.8947849273681641,1.1854302883148193,831.59,0.00
hot-get,1000,kayak,10240,0.6250357627868652,0.561833381652832,0.9791135787963867,1.0741019248962402,1.1899471282958984,0.22268295288085938,0.6084809303283691,1599.91,0.00
hot-update,1000,kayak,10240,1.2771131992340088,1.2273788452148438,1.5040159225463867,1.6274690628051758,2.3641586303710938,0.8523464202880859,1.2583940029144287,783.02,0.00
cold-get,1000,kayak,10240,1.0812726020812988,1.0544061660766602,1.241922378540039,1.3244295120239258,1.6639232635498047,0.6737709045410156,1.0627169609069824,924.84,0.00
cold-update,1000,kayak,10240,1.6604487895965576,1.9392967224121094,2.1796464920043945,2.3175120353698726,3.0059814453125,0.8928775787353516,1.6415934562683105,602.25,0.00
hot-get,1000,asfp,10240,1.0239965915679932,0.9535551071166992,1.3674736022949219,1.5800118446350098,1.6665458679199219,0.6127357482910156,1.0059666633605957,976.57,0.00
hot-update,1000,asfp,10240,1.4695348739624023,1.1938810348510742,2.485537528991699,2.7453970909118652,2.7840137481689453,0.9169578552246094,1.449904441833496,680.49,0.00
cold-get,1000,asfp,10240,1.1438689231872559,0.9485483169555664,1.9927978515625002,2.1252894401550293,2.321481704711914,0.5517005920410156,1.1249370574951172,874.23,0.00
cold-update,1000,asfp,10240,1.6635057926177979,1.2493133544921875,3.1711578369140625,3.374605178833008,3.957986831665039,0.9796619415283203,1.6445071697235107,601.14,0.00
hot-get,1000,local,102400,1.1004579067230225,1.082777976989746,1.1971235275268555,1.2543249130249023,4.595756530761719,0.8478164672851562,1.0845301151275635,908.71,0.00
